idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,False,2019,Editorial Universitaria UTN,978-9942-784-66-7,,113 - 117,,,,Implementación de un sistema de captura de movimiento bidimensional para el analisis de marcha humana,Memorias del II congreso internacional de bioingeniería y sistemas inteligentes de rehabilitación
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2017,Editorial Unimar,978-958-56273-9-0,,431 - 445,,,,"Diseño y construcción de prototipo para la clasificación de lulo, Solanum sp mediante técnicas de visión artificial y automatización",La Investigación al centro - llI Exposición de Trabajos de Investigación UNIMAR
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2017,Editorial Unimar,978-958-56273-9-0,,397 - 412,,,,Prototipo para la selección y clasificación de piedras preciosas usando técnicas de visión artificial,La Investigación al centro - llI Exposición de Trabajos de Investigación UNIMAR
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2017,Editorial Unimar,978-958-56273-9-0,,263 - 278,,,,Prototipo vehículo controlado por visión artificial,La Investigación al centro - llI Exposición de Trabajos de Investigación UNIMAR
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2017,Editorial Unimar,978-958-56273-9-0,,413 - 428,,,,Diseño y construcción de una banda mecánica para la selección de objetos de color,La Investigación al centro - llI Exposición de Trabajos de Investigación UNIMAR
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2018,Editorial UNIMAR,978-958-56599-7-1,,199 - 206,,,,Vinculación del Programa Ingeniería Mecatrónica de la Universidad Mariana a la Red Nacional de Ingeniería Mecatrónica y Automática,"Experiencias de capacidad científica, desarrollo tecnológico e innovación en los grupos de investigación de la Facultad de Ingeniería - Universidad Mariana"
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2018,Editorial UNIMAR,978-958-56599-7-1,,189 - 198,,,,Aplicación de las técnicas de la visión artificial en la identificación de características biométricas del esperma humano,"Experiencias de capacidad científica, desarrollo tecnológico e innovación en los grupos de investigación de la Facultad de Ingeniería - Universidad Mariana"
0000000555,DAGOBERTO MAYORCA TORRES,,Colombia,True,2018,Editorial UNIMAR,978-958-56599-7-1,,177 - 182,,,,IMuestra de Proyectos de Ingeniería Mecatrónica y Automatización 2016,"Experiencias de capacidad científica, desarrollo tecnológico e innovación en los grupos de investigación de la Facultad de Ingeniería - Universidad Mariana"
0000000680,"EFRAIN SOLARTE RODRIGUEZ, CARLOS J DIAZ, JORGE ARCE CHAVES",,Canadá,False,1999,Corvinus University of Budapest,0,,,Science Education,"Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)","Educación, Otros sectores - Otro",National Contexts for Mathematics and Science Education: An Encyclopedia of the Education Systems Participating in TIMSS,National Contexts for Mathematics and Science Education: An Encyclopedia of the Education Systems Participating in TIMSS
0000000680,"CLARA EUGENIA GOYES LOPEZ, MAURIZIO FERRARI, EFRAIN SOLARTE RODRIGUEZ",,Estados Unidos,False,2007,,9780819465719,,0D - 5468,"Laser Processing, Materials processing","Ciencias Naturales -- Ciencias Físicas -- Óptica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica","Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de aparatos y equipos de telecomunicación, Desarrollo de nuevos materiales",Effect of CO2 laser irradiation on the performances of sol-gel-derived Er3+-activated SiO2 - ZrO2 and SiO2 - HfO2 planar waveguides,Photon Processing In Microelectronics And Photonics Vi
0000000680,EFRAIN SOLARTE RODRIGUEZ,,Estados Unidos,False,2006,,9780819463692,,00Z -,,,,CO2 (10.6 μm) laser for high tech ceramic materials production,Laser Beam Shaping Vii
0000000680,EFRAIN SOLARTE RODRIGUEZ,,Colombia,False,1995,Universidad Del Valle Centro De Publicaciones,958-670-036-4,,61 - 104,Science Education,Ciencias Naturales -- Ciencias Físicas -- Física de la Materia,Educación,El Universo de la Luz,X Encuentro Nacional De Óptica & I Conferencia Andina Y Del Caribe En Óptica Y Sus Aplicaciones
0000000680,EFRAIN SOLARTE RODRIGUEZ,,Estados Unidos,False,2005,,9780819460592,,1F -,,,,Coherence measurements of a Nd-YAG laser by image processing of Michelson interferometer fringe patterns,Lasers And Laser Technologies Proceedings Of Spie Volume: 6028
0000000680,"CLARA EUGENIA GOYES LOPEZ, ALVARO CASAS BEDOYA, EFRAIN SOLARTE RODRIGUEZ, FEDERICO SEQUEDA, ALFONSO DEVIA",,Estados Unidos,False,2006,S P I E - International Society for Optical Engineering,0819460605,6029,82 - 87,"Yttria Stabilized Zirconia, Materials processing, Laser Processing, Nanolayers","Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química, Ingeniería y Tecnología -- Ingeniería de los Materiales -- Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)","Aeronáutica y espacio, Actividades en el campo de las nanotecnologías y desarrollo de nanoproductos, Desarrollo de nuevos materiales","Preparation and characterization of ceramic thin films, structures, and nanocrystals using CO2 laser annealing treatment",Ico 20: Materials And Nanostructures. Proceedings Of Spie
0000000680,"ALVARO EFRAIN BASTIDAS GUSTIN, EDITH RODRIGUEZ, MAURICIO JARAMILLO AYERBE, EFRAIN SOLARTE RODRIGUEZ",,Estados Unidos,False,2004,,0819455318,5575,147 - 154,"Coherent Light Scattering, LIDAR, Atmospheric Aerosols, PM10","Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Meteorología y Ciencias Atmosféricas","Aeronáutica y espacio, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.","Simulation model of absorption and scattering properties of laser light applied to urban aerosols over the city of Popayán, Colombia",Proccedings Spie- Laser Radar Techniques: Ranging And Atmospheric Lidar
0000000680,"EFRAIN SOLARTE RODRIGUEZ, FELIPE BELTRAN",,Estados Unidos,False,2006,,0819460567,6025,506 - 511,"Non Linear Optics, Solitons, Quasi-Solitons, Gordon-Haus Effec, Noise, Optical amplifier","Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica","Aeronáutica y espacio, Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de aparatos y equipos de telecomunicación",Analysis of the Gordon-Haus Effect in Quasi-Soliton Systems,Ico20: Optical Communication. Proceedings Of Spie
0000000680,"EFRAIN SOLARTE RODRIGUEZ, JOSE OSCAR GUTIERREZ MONTES, HUGO RAMIREZ, RODRIGO NEIRA, JOSE ARROYABE, ALDO FRANCO REBOLLEDO, WILLIAM DAVID CRIOLLO GOMEZ, JOHN JAIRO SANDOVAL COBO",,Estados Unidos,False,2006,,0819460575,6026,29 - 37,"Laser Therapy, Diode Laser, Adipocyte, Cell Membrane, Tissue Clearing","Ciencias Médicas y de la Salud -- Medicina Clínica -- Cirugía, Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química","Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes - Fabricación de equipos de instrumentación médico-hospitalar, odontológico y de laboratorios, Salud humana - Desarrollo de productos tecnológicos para la salud humana",Laser Light Propagation in Adipose Tissue and Laser Effects on Adipose Cell Membranes,Ico20: Biomedical Optics. Proceedings Of Spie
0000000680,"EDITH RODRIGUEZ, ELENA MONTILLA ROSERO, MAURICIO JARAMILLO AYERBE, EFRAIN SOLARTE RODRIGUEZ, ALVARO EFRAIN BASTIDAS GUSTIN",,Estados Unidos,False,2005,,0819460044,5984,179 - 184,"LIDAR, Atmospheric Aerosols, PM10, Coherent Light Scattering","Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Meteorología y Ciencias Atmosféricas","Aeronáutica y espacio, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.","Simulation model of scattering properties and extinction of laser light applied to urban aerosols over the city of Cali, Colombia","Lidar Technologies, Techniques, And Measurements For Atmospheric Remote Sensing"
0001431796,LAURA MARCELA VASQUEZ LOPEZ,,,False,2020,DIMAR,9789585412668,,154 - 177,,"Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Oceanografía, Hidrología y Recursos del Agua",,Medición y características generales del nivel del mar en la cuenca Pacífica Colombiana,Compilación oceanográfica del Pacífico colombino II
0000016687,"LISBETH LUCIA MARTINEZ ORTEGA, MAURICIO NOGUEIRA FROTA, ALCIR DE FARO ORLANDO",,Brasil,True,2014,Parola Editorial,978-3-00-047037-0,,67 - 91,,,,Conversão fotovoltaica: comparação de modelos de desempenho,"Eficiência Energética E Produção De Energia Renovável : Políticas, Oportunidades E Desafios Para O Mercado, Para Ciência E Para A Educação"
0000000651,"FRANCESCA BOVOLO, LORENZO BRUZZONE, YADY TATIANA SOLANO CORREA",,Estados Unidos,False,2017,Elsevier Academic Press,978-0-12-803221-3,,156 - 185 1,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones, Ingeniería y Tecnología -- Ingeniería Ambiental -- Sensores Remotos, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Geociencias (Multidisciplinario), Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Computación",,Multitemporal Analysis of Remotely Sensed Image Data,Comprehensive Remote Sensing
0000000651,YADY TATIANA SOLANO CORREA,,Estados Unidos,False,2018,Elsevier Academic Press,978-0-12-803221-3,,156 - 185,,Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Geociencias (Multidisciplinario),,2.08 - Multitemporal Analysis of Remotely Sensed Image Data,Comprehensive Remote Sensing
0000115964,"LAURA MARCELA VASQUEZ LOPEZ, JOSE DAVID IRIARTE SANCHEZ, FERNANDO OVIEDO BARRERO, YINETH VIVIANA CAMACHO DE ANGULO, HARRY FERNANDO QUINONES TORRES",,Colombia,False,2020,DIMAR,978-958-5412-66-8,,155 - 179,,"Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Oceanografía, Hidrología y Recursos del Agua, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías",,Medición y características generales del nivel del mar en la Cuenca Pacífica Colombiana,Compilación Oceanográfica de la Cuenca Pacífica Colombiana II
0000115964,"DARWIN ALEXIS ARRECHEA CASTILLO, YADY TATIANA SOLANO CORREA, JULIAN FERNANDO MUNOZ ORDONEZ, YINETH VIVIANA CAMACHO DE ANGULO, APOLINAR FIGUEROA CASAS",,Colombia,False,2023,Sello Editorial Uniautónoma del Cauca,978-958-8614-72-4,,63 - 72,,Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Computación,,"Reflexiones sobre el uso de percepción remota e inteligenciaartificial para la valoración de servicios ecosistémicos hídricosen la subcuenca Río Palacé y la subcuenca Río Las Piedras, en eldepartamento del Cauca (PDF) Reflexiones de los proyectos de Jovenes Investigadores e Innovadores en el Departamento del Cauca 2022. Available from: https://www.researchgate.net/publication/369972051_Reflexion",Reflexiones de los proyectos de Jovenes Investigadores e Innovadores en el Departamento del Cauca 2022
0000012904,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO",,Inglaterra,False,2006,Manor Printing Services,0,1,- 1,"Agri¿chain, Competitividad, Colombia rural, value chain",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,Desarrollo rural,"Panela Agry Alimentary Chain of Cauca - Colombia, Case Study: Approach to a Knowledge Management Model for a Rural Territory",Second European Conference on Management of Technology
0000012904,"ADOLFO PLAZAS TENORIO, ADRIANA PAOLA SANCHEZ RICO, CAMPO ELIAS BERNAL",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,823 - 826 1,,,,"Génesis y evolución de un sistema regional de ciencia, tecnología e innovación",Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,143 - 152 1,,,,ESTRATEGIA COMPETITIVA DE LA ZONA NORTE DEL CAUCA: PRODUCTIVIDAD EMPRESARIAL CON INNOVACION SOCIAL,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,1 - 14 1,,,,"Cauca Región del Conocimiento: Estrategias de inserción de un territorio rural, plurietnico, multicultural y biodiverso, en las sociedades del conocimiento",Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000012904,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,827 - 838 1,,,,Dinámicas Universidad-Empresa-Estado en Cauca y Nariño: Un proceso de construcción de región capitalizando las similitudes y respetando las diferencias.,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,731 - 741 1,,,,Dinamización de las Relaciones Universidad Empresa Estado,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000012904,"ADOLFO PLAZAS TENORIO, CAMPO ELIAS BERNAL, GUSTAVO ADOLFO NARVAEZ DE LA ROSA",,Colombia,False,2012,Editorial Universidad Del Cauca,978-958-732-110-4,,42 - 63 1,,,,"Cauca y Nariño, decididos a avanzar hacia una Región del Conocimiento",Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2007,Editorial Universidad Del Cauca,978-958-9451-49-6,,13 - 21 1,,"Ciencias Sociales -- Economía y Negocios -- Economía, Ciencias Sociales -- Economía y Negocios -- Negocios y Management","Desarrollo rural, Desarrollo Urbano",Enfoque de cadena en el marco de la competitividad sistémica y territorial,Estrategia Integral Para Mejorar La Competitividad De Agrocadenas De Productores Rurales De Pequeña Escala En El Departamento Del Cauca
0000012904,"ADOLFO PLAZAS TENORIO, ADRIANA PAOLA SANCHEZ RICO, MARIA FERNANDA MORENO, CAMPO ELIAS BERNAL",,Colombia,False,2006,Ascolfa,978-958-440-745-0,1,286 - 300 1,"Cadena de Valor, Diseño Políticas Ciencia y Tecnología, Redes Sociales",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,"Desarrollo rural, Desarrollo Urbano","Cauca, Región de Conocimiento: Génesis y Evolución de un Sistema Regional de Ciencia, Tecnología e Innovación en un Contexto Rural, Biodiverso y Multicultural: Cauca - Colombia","Encuentro Nacional De Investigación Y Docencia 2006: Epistemología, Investigación Y Educación En Las Ciencias Administrativas."
0000012904,"ADOLFO PLAZAS TENORIO, MARTHA NYDIA OJEDA BAOS",,Colombia,False,2006,Universidad del Cauca,978-958-9451-16-8,1,1 - 20 1,"Competitividad, Política Científica y Tecnológica, Cadena productiva",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,"Desarrollo rural, Desarrollo Urbano","La Agenda Regional de Competitividad ""Cauca Compite"": Una Apuesta con Visión de Futuro",Perspectivas De Investigación Para El Cauca: Una Construcción Interdisciplinaria Sobre El Desarrollo Tecnológico Y Su Impacto En El Entorno
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2008,Editorial Universidad Del Cauca,978-958-9451-87-8,,1 - 50 1,,,,Presentación proyecto uso de enfoques de herramientas de inteligencia competitiva,Uso De Enfoques Y Herramientas De Inteligencia Competitiva Para La Articulación Al Mercado De Redes De Agroempresas Rurales En El Cauca
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2008,Editorial Universidad Del Cauca,978-958-9451-88-5,,31 - 35 1,,,,Vigilancia y articulación con el entorno,Memorias Curso De Formación Avanzada Para Articuladores. Formaciòn Avanzada Para Articuladores De Cadenas Productivas De Pequeña Escala Con Enfoque Integral Para Articulación Al Mercado
0000012904,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO",,Colombia,False,2005,Edigrafías,0,200,139 - 155 1,"Redes Sociales, Modelo de Gestión de Conocimiento, Modelo de Gestión Integral",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,"Desarrollo rural, Desarrollo Urbano","Modelo de Gestión Integral Apliacdo a la Creación de Redes Sociales en la Agenda Caucana de Ciencia y Tecnología ""CAUCACYT""",INVESTIGACIÓN EN ADMINISTRACIÓN EN AMÉRICA LATINA: EVOLUCIÓN Y RESULTADOS
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-037-4,,83 - 96 1,,,,INNOVACIÓN: El feliz encuentro entre el conocimiento y la necesidad,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones"
0000012904,"ADOLFO PLAZAS TENORIO, ADRIANA PAOLA SANCHEZ RICO",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,44 - 63 1,,,,CAUCA REGIÓN DEL CONOCIMIENTO: DINÁMICA TERRITORIAL DE REDES PARA LA INNOVACIÓN SOCIAL Y PRODUCTIVA,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000012904,ADOLFO PLAZAS TENORIO,,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,107 - 130 1,,,,EL CASO DE UN PROYECTO DE INNOVACIÓN ORGANIZATIVA: CONCEPCIÓN DE UN PLAN TECNOLÓGICO PARA LA CADENA PISCÍCOLA DEL CAUCA,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,10 - 64 1,,,,PLANEACIÓN TECNOLÓGICA EN UN ÁMBITO RURAL,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,65 - 80 1,,,,ASPECTOS METODOLÓGICOS DE LA CONSTRUCCIÓN DE UN PLAN TECNOLÓGICO PARA AGROCADENAS DE PEQUEÑA ESCALA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,135 - 166 1,,,,PLAN TECNOLÓGICO PARA LA CADENA PISCÍCOLA DEL CAUCA DURANTE EL PERÍODO (2006 ¿ 2015).,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,81 - 116 1,,,,MÉTODO PROPUESTO PARA LA PLANEACIÓN TECNOLÓGICA EN AGROCADENAS DE PRODUCTORES RURALES DE PEQUEÑA ESCALA EN EL CAUCA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000012904,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,117 - 134 1,,,,SISTEMA REGIONAL DE INNOVACIÓN: ESCENARIO PARA LA IMPLANTACIÓN EXITOSA DE UN PLAN TECNOLÓGICO PARA AGROCADENAS DE PRODUCTORES RURALES DE PEQUEÑA ESCALA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000012904,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO",,Turquía,False,2007,Bilkent University,0,1,1 - 10 1,"Agri¿chain, Cadena productiva, Cadena de Valor, Gestión Tecnológica",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,Desarrollo rural,"A Technology Management Strategy For Rural Producers In Cauca, Colombia, As A Component To An Integral Strategy",14th Internacional Annual EurOMA Conference: Management Operations in an Expanding Europe
0000309869,"ADRIANA PAOLA SANCHEZ RICO, ADOLFO PLAZAS, MARIA FERNANDA MORENO, CAMPO ELIAS BERNAL",,Colombia,False,2006,Torre Blanca,0,1,286 - 300 1,"Gestión de Conocimiento, Redes de Conocimiento, Innovación",Ciencias Sociales -- Geografía Social y Económica -- Estudios Urbanos (Planificación y Desarrollo),,"Cauca, Región de conocimiento: Génesis y evolución de un sistema regional de Ciencia Tecnología e Innovación- SRCTInn ¿ en un contexto rural, biodiverso y multicultural: Cauca ¿ Colombia","Encuentro Nacional de Investigación y Docencia. Epistemiología, Investigación y Educación en las Ciencias Administrativas"
0000309869,"ADRIANA PAOLA SANCHEZ RICO, SANDRA PATRICIA REBOLLEDO ACOSTA",,Colombia,False,2007,Editorial Universidad Del Cauca,978-958-9451-49-6,,22 - 31 1,,,,Asociatividad y Articulación de Redes Sociales,Estrategia Integral Para Mejorar La Competitividad De Agrocadenas De Productores Rurales De Pequeña Escala En El Departamento Del Cauca
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ",,Colombia,False,2006,Sello de la Editorial Universidad del Cauca,0,1,- 1,,,,La Tecnología: Un medio Para Satisfacer Necesidades y Demandas en las Organizaciones,Perspectivas de Investigación para el Cauca: Una construcción interdisciplinaria sobre tecnología y su impacto en el entorno
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, CAROLINA QUINONEZ ZUNIGA, LUZ STELLA PEMBERTHY",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,91 - 101 1,,,,Informe de intercambio con actores de CUEE de Antioquia,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,57 - 60 1,,,,Acompañamiento metodológico en la formulación de proyectos de innovación,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,"ADRIANA PAOLA SANCHEZ RICO, CAROLINA QUINONEZ ZUNIGA",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,421 - 429 1,,,,Comunicación y asociatividad para la formación de Gestores Tecnológicos en el contexto de la Innovación Abierta,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,"ADRIANA PAOLA SANCHEZ RICO, OMAIRA CALVO GIRALDO",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,708 - 721 1,,,,Memorias Taller No 2: Reconociendo el contexto regional,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,ADRIANA PAOLA SANCHEZ RICO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,722 - 730 1,,,,Memorias taller No 3: Plan de trabajo de Nariño 2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,ADRIANA PAOLA SANCHEZ RICO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,755 - 765 1,,,,Foros municipales y foro departamental 2009. Informe de acompañamiento por parte del comité Universidad ¿Empresa-Estado Cauca- Nariño.,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-049-7,,872 - 877 1,,,,Resúmenes- Formulación de proyectos para empresarios del Norte del Cauca,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca
0000309869,ADRIANA PAOLA SANCHEZ RICO,,Colombia,False,2009,Editorial De La Universidad Del Cauca,978-958-732-018-3,,106 - 138 1,,,,"Ciencia, Tecnología e Innovación. Informe de trabajo de apoyo para la mesa de Ciencia y Tecnología",Estrategias Y Dinámicas Para Innovar Y Ser Competitivos
0000309869,"ADRIANA PAOLA SANCHEZ RICO, ADOLFO PLAZAS, CAMPO ELIAS BERNAL",,Colombia,False,2009,Division Editorial Y De Publicaciones Uis Universidad Industrial De Santander,978-958-8504-09-4,,137 - 163 1,,,,"Génesis y evolución de un sistema regional de Ciencia, Tecnología e Innovación - SRCTI- en un contexto rural, biodiverso y multicultural: Cauca ¿ Colombia",Universidad - Empresa ¿ Estado. Cátedra Low Maus
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-037-4,,97 - 106 1,,,,"Dinámicas Universidad Empresa Estado. Dialogar, aprender y crear. Actuar para crecer. Hay con quien","Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones"
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-037-4,,107 - 114 1,,,,"Proyectos de Innovación. Ideas en acción, no es tan difícil","Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones"
0000309869,"ADRIANA PAOLA SANCHEZ RICO, ADOLFO PLAZAS",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,44 - 63 1,,,,Cauca Región del Conocimiento: Dinámica territorial de redes para la Innovación Social y Productiva,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000309869,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,64 - 85 1,,,,"Estrategias para integrar a los actores de la red de Oferta y Demanda en Ciencia y Tecnología del Departamento del Cauca, a través de la relación entre la Universidad, la Empresa y el Estado",Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0001424070,"WILFRED FABIAN RIVERA MARTINEZ, CESAR AUGUSTO GOMEZ VILLAMARIN, CARLOS MANUEL MONTENEGRO BENAVIDES",,Colombia,True,2012,Editorial Universidad Del Cauca,978-958-732-110-4,,108 - 126,,,,"Sector Empresarial del Cauca y Nariño, Una Visión para la Competitividad de la Región",Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado
